"city";"street";"house";"floor"
"Березники";"4-я Майская улица";172;4
"Анжеро-Судженск";"Пионерский проезд";131;3
"Батайск";"Колобенка, улица";68;2
"Балахна";"4-я Майская улица";55;2
"Арсеньев";"Железнодорожная улица";32;1
"Великий Новгород";"Текстильщиков, улица";14;2
"Владивосток";"2-я Пионерская, улица";128;2
"Брянск";"Симферопольское шоссе";147;5
"Бердск";"Авиаторов, улица";153;3
"Альметьевск";"4-я Майская улица";42;1
"Боровичи";"Флотская улица";81;5
"Арзамас";"СНТ Волна, улица";22;3
"Бердск";"2-я Лазурная улица";100;5
"Биробиджан";"3-я Пионерская улица";120;5
"Астрахань";"Живописная улица";173;3
"Белебей";"Сатинская аллея";76;1
"Борисоглебск";"Полковника милиции Курочкина, улица";194;2
"Буйнакск";"Рабочая улица";123;4
"Ангарск";"Герцена, улица";53;1
"Бор";"Фруктовая улица";121;2
"Владивосток";"Героя России Чернышёва, улица";20;1
"Бор";"Парковая улица";166;5
"Буйнакск";"Дзержинского, улица";143;4
"Апатиты";"Цветочная улица";45;3
"Анжеро-Судженск";"Красноармейская улица";30;1
"Армавир";"Сиреневая улица";48;3
"Азов";"Заречная улица";147;4
"Братск";"Кирова, улица";38;2
"Владивосток";"Июльская улица";121;4
"Артем";"Восточная улица";40;1
"Белогорск";"Осенняя улица";63;1
"Батайск";"Полковника милиции Курочкина, улица";67;4
"Абакан";"1-я Майская улица";169;4
"Боровичи";"3-я Барышевская улица";16;1
"Апатиты";"Гоголя, улица";153;4
"Азов";"Изумрудная улица";194;5
"Буденновск";"Заозёрная улица";141;1
"Апатиты";"Суворова, улица";68;1
"Владивосток";"Тупик, улица";79;1
"Армавир";"3-я Рыбацкая улица";41;1
"Архангельск";"Комсомольский проезд";112;3
"Балаково";"Прудная улица";79;3
"Батайск";"Толбухина, улица";188;3
"Артем";"2-я Барышевская улица";186;3
"Барнаул";"Песчаная улица";99;2
"Верхняя Пышма";"1-я Валуевская улица";93;2
"Березники";"Железнодорожная улица";88;4
"Буденновск";"Филимонковская улица";95;2
"Алексин";"Текстильщиков, улица";53;5
"Бор";"Родниковая улица";68;4
"Александров";"Западная улица";131;4
"Астрахань";"3-я Майская улица";164;3
"Белово";"Пушкинская улица";121;5
"Белово";"1-й Терновый переулок";109;3
"Великий Новгород";"Фабричная площадь";171;3
"Буденновск";"Быковская улица";74;5
"Бузулук";"Авиационная улица";72;4
"Буйнакск";"Южный квартал";117;1
"Бор";"Герцена, улица";37;2
"Бор";"Новостройка, улица";109;5
"Батайск";"Институтская улица";157;3
"Белореченск";"6-й Кленовый переулок";158;4
"Белебей";"2-я Пионерская, улица";103;4
"Боровичи";"Генерала Максимчука, улица";118;2
"Белово";"Звёздная улица";169;5
"Великий Новгород";"Заводская улица";21;4
"Березники";"6-й Кленовый переулок";162;3
"Бердск";"Заводская улица";46;4
"Апатиты";"Тихая улица";101;3
"Балахна";"1-я Валуевская улица";98;4
"Архангельск";"Академика Верещагина, площадь";26;2
"Балашов";"Маяковского, улица";121;5
"Арзамас";"3-я Рыбацкая улица";7;1
"Ачинск";"Изумрудная улица";108;4
"Верхняя Пышма";"Колхозная улица";69;5
"Балашов";"Дальняя улица";115;4
"Александров";"Садовый Квартал, улица";28;1
"Артем";"Рабочая улица";181;1
"Балаково";"Бутовский тупик";115;3
"Армавир";"1-я Катерная улица";185;5
"Борисоглебск";"Пушкинская улица";68;1
"Александров";"3-я Пионерская улица";111;1
"Белогорск";"2-я Рыбацкая улица";181;5
"Арзамас";"Капитанская улица";112;5
"Барнаул";"Рождественская улица";10;2
"Березовский";"2-я Валуевская улица";42;4
"Артем";"Заречная улица";94;2
"Армавир";"Маяковского, улица";108;2
"Артем";"Кооперативная улица";9;3
"Бузулук";"2-я Вишнёвая улица";161;5
"Белебей";"Кооперативная улица";48;4
"Батайск";"Чапаева, улица";89;1
"Бузулук";"Лесная улица";115;2
"Березовский";"Комсомольская улица";100;3
"Армавир";"Новая улица";16;2
"Барнаул";"Ясная улица";144;4
"Великие Луки";"Мичурина, улица";41;4
"Бузулук";"Чапаева, улица";95;5
"Видное";"Трудовая улица";189;5
"Апатиты";"Набережная улица";52;2
"Видное";"Первомайская улица";67;2
"Балаково";"Городская улица";176;2
"Арсеньев";"Новостроевская улица";94;1
"Бугульма";"Лесная улица";109;2
"Анжеро-Судженск";"1-й Богородский переулок";178;4
"Видное";"Андреевская улица";11;5
"Анжеро-Судженск";"Дзержинского, улица";140;2
"Ачинск";"Чапаева, улица";180;1
"Биробиджан";"Первомайская улица";147;2
"Александров";"Летняя улица";181;3
"Алексин";"Весенняя улица";47;5
"Балашов";"3-й Кленовый переулок";150;2
"Березовский";"Академическая улица";64;4
"Бузулук";"Южная улица";67;3
"Анжеро-Судженск";"2-я Изумрудная улица";190;3
"Ачинск";"Мостотреста, улица";41;2
